ACCOUNT NUMBER|ARREARS BALANCE|CURRENT BALANCE
101037|454,90|929,74                                                            
101053|4622,21|160,30                                                           
102790|931,35|160,30                                                            
105190|2026,70|160,30                                                           
105550|94,35|112,21                                                             
105660|1799,80|160,30                                                           
106350|0,00|160,30                                                              
106360|0,00|112,21                                                              
106650|2,30|160,30                                                              
106710|1936,25|400,75                                                           
106960|1081,80|160,30                                                           
108280|14,61|112,21                                                             
108310|1291,25|240,45                                                           
108440|410,90|160,30                                                            
109370|3824,65|96,18                                                            
109380|528,50|96,18                                                             
109390|2520,73|96,18                                                            
109410|820,90|96,18                                                             
109420|1215,35|96,18                                                            
109450|627,86|96,18                                                             
109460|1706,89|96,18                                                            
109470|0,00|0,00                                                                
109500|1610,18|96,18                                                            
109510|96,18|96,18                                                              
109700|2814,21|1314,46                                                          
109910|,71|144,27                                                               
110051|0,00|112,21                                                              
200001|158,05|112,21                                                            
200002|198,75|112,21                                                            
200003|197,68|112,21                                                            
200004|1303,94|112,21                                                           
200005|0,00|112,21                                                              
200006|198,21|112,21                                                            
200007|176,71|112,21                                                            
200008|3578,35|112,21                                                           
200009|177,03|112,21                                                            
200010|39,15|112,21                                                             
200011|1018,61|112,21                                                           
200012|1601,85|112,21                                                           
200013|103,46|112,21                                                            
200014|958,66|112,21                                                            
200015|1696,90|112,21                                                           
200016|0,00|0,00                                                                
200024|467,87|112,21                                                            
200025|0,00|0,00                                                                
200026|2601,85|112,21                                                           
200027|4783,60|112,21                                                           
200028|333,99|112,21                                                            
200029|2256,80|112,21                                                           
200030|2393,59|112,21                                                           
200031|416,71|112,21                                                            
200032|385,05|112,21                                                            
200033|1166,84|112,21                                                           
200034|1003,24|112,21                                                           
200035|1886,25|112,21                                                           
200036|3440,09|112,21                                                           
200037|411,45|112,21                                                            
200038|3668,60|112,21                                                           
200039|1556,42|112,21                                                           
200040|1089,20|112,21                                                           
200041|1143,59|112,21                                                           
200042|314,71|112,21                                                            
200043|496,74|112,21                                                            
200044|2173,76|112,21                                                           
200045|137,37|112,21                                                            
200046|1077,12|112,21                                                           
200047|0,00|112,21                                                              
200048|1707,81|112,21                                                           
200049|0,00|68,96                                                               
200050|0,00|112,21                                                              
200051|0,00|111,92                                                              
200052|1272,34|112,21                                                           
200053|561,64|112,21                                                            
200054|,71|112,21                                                               
200055|593,15|112,21                                                            
200056|2397,32|112,21                                                           
200057|690,49|112,21                                                            
200058|0,00|112,21                                                              
200059|0,00|111,82                                                              
200060|0,00|111,74                                                              
200061|0,00|89,83                                                               
200062|54,90|112,21                                                             
200063|0,00|102,21                                                              
200064|176,42|112,21                                                            
200395|174,23|112,21                                                            
200435|2567,75|112,21                                                           
200791|0,00|112,21                                                              
200901|738,42|112,21                                                            
200976|0,00|112,21                                                              
201059|575,99|112,21                                                            
201154|2243,18|112,21                                                           
201336|235,57|112,21                                                            
201431|132,71|112,21                                                            
201490|2923,75|112,21                                                           
201494|3601,70|112,21                                                           
201530|265,32|112,21                                                            
201535|396,63|112,21                                                            
201573|1090,88|112,21                                                           
