02-11-2019,AAACT19306Z9XJQV9L,Charge - Capitalise,02-11-2019,-25,0,141.27
07-11-2019,FT193117QMSX\BNK,Cred Push Rcv,07-11-2019,0,500,641.27
,,67:Mawire:421158,,0,0,
07-11-2019,FT19311BKFYF,PURCHASE CHG PAID,07-11-2019,-2,0,639.27
07-11-2019,FT19311BKFYF,ZimSwitch Charge,07-11-2019,-2.33,0,636.94
07-11-2019,FT19311BKFYF,IMTT Tax,07-11-2019,-8,0,628.94
07-11-2019,FT19311BKFYF,Purchase,07-11-2019,-400,0,228.94
,,STAND 2974 CNR UPFRONT,,0,0,
15-11-2019,CHG19319QHJXH\BNK,Pos Bal Charge,15-11-2019,-0.45,0,228.49
18-11-2019,FT19322W6HTD,PURCHASE CHG PAID,18-11-2019,-0.77,0,227.72
18-11-2019,FT19322W6HTD,IMTT Tax,18-11-2019,-3.06,0,224.66
18-11-2019,FT19322W6HTD,ZimSwitch Charge,18-11-2019,-4.65,0,220.01
18-11-2019,FT19322W6HTD,Purchase,18-11-2019,-153.2,0,66.81
,,DOWNTOWN OASIS GWERU ZW,,0,0,
20-11-2019,FT19324WWZP7,IMTT Tax,20-11-2019,-0.05,0,66.76
20-11-2019,FT19324WWZP7,TRANSFER CHG,20-11-2019,-2,0,64.76
20-11-2019,FT19324WWZP7,Cash Withdrawal,20-11-2019,-50,0,14.76
,,CC Gweru Gold B/POS,,0,0,
20-11-2019,CHG193248P4S1\BNK,Pos Bal Charge,20-11-2019,-0.45,0,14.31
21-11-2019,FT1932530M87\BNK,Cred Push Rcv,21-11-2019,0,600,614.31
,,67:Mawire:421158,,0,0,
22-11-2019,FT19326V8XG4,IMTT Tax,22-11-2019,-0.64,0,613.67
22-11-2019,FT19326V8XG4,PURCHASE CHG PAID,22-11-2019,-1,0,612.67
22-11-2019,FT19326V8XG4,ZimSwitch Charge,22-11-2019,-4.65,0,608.02
22-11-2019,FT19326V8XG4,Purchase,22-11-2019,-32,0,576.02
,,8107 MKOBA 15 SHOPPING,,0,0,
23-11-2019,FT193272BGPF,IMTT Tax,23-11-2019,-0.72,0,575.3
23-11-2019,FT193272BGPF,PURCHASE CHG PAID,23-11-2019,-1,0,574.3
23-11-2019,FT193272BGPF,ZimSwitch Charge,23-11-2019,-4.65,0,569.65
23-11-2019,FT193272BGPF,Purchase,23-11-2019,-36,0,533.65
,,Simpric Investments,,0,0,
23-11-2019,FT193270QKH6,IMTT Tax,23-11-2019,-0.54,0,533.11
23-11-2019,FT193270QKH6,PURCHASE CHG PAID,23-11-2019,-1,0,532.11
23-11-2019,FT193270QKH6,ZimSwitch Charge,23-11-2019,-4.65,0,527.46
23-11-2019,FT193270QKH6,Purchase,23-11-2019,-27,0,500.46
,,Simpric Investments,,0,0,
25-11-2019,FT193293LQC9,IMTT Tax,25-11-2019,-0.05,0,500.41
25-11-2019,FT193293LQC9,TRANSFER CHG,25-11-2019,-5,0,495.41
25-11-2019,FT193293LQC9,Cash Withdrawal,25-11-2019,-200,0,295.41
,,CC Gweru Gold B/POS,,0,0,
26-11-2019,FT19330QG1Q0,PURCHASE CHG PAID,26-11-2019,-0.25,0,295.16
26-11-2019,FT19330QG1Q0,IMTT Tax,26-11-2019,-1,0,294.16
26-11-2019,FT19330QG1Q0,Purch Cashback,26-11-2019,-50.39,0,243.77
,,OK GWERU,,0,0,
29-11-2019,TT19333K3J3L\S11,Cash Withdrawal,29-11-2019,-100,0,143.77
29-11-2019,Cash Withdrawal Fee,Charge - Capitalise,29-11-2019,-5,0,138.77
29-11-2019,CHG19333HC68L\BNK,Pos Bal Charge,29-11-2019,-0.75,0,138.02
