211101,1120,Standard Chartered bank,255.07
211101,1120,Commercial Bank of Zimbabwe,697.60
226102,1120,Equipment and machinery,13700.00
226102,1120,Furniture and fittings,10000.00
226103,1120,Computers and equipment,6841.00
228101,1120,Land and buildings,140000.00
234100,1120,Trade creditors,-31890.26
234104,1120,National Employment Council,-4570.74
234104,1120,National Social Security Authority,-114405.64
234104,1120,Local Authorities Pension Fund,-26767.86
234104,1120,United Councils Pension Fund,-247270.25
234104,1120,Trade union,-5357.07
234104,1120,Salary accrual,-70404.12
234104,1120,Provision for leave pay,-25135.59
234104,1120,Zimbabwe Manpower Development Fund,-8268.41
234104,1120,Pay As You Earn,-189173.64
234106,1120,Association of Rural District Council [ARDC],-7300.00
251113,1120,Revaluation reserve,-150000.00
258101,1120,Retained income,670642.98
11200101,1120,Reversal,-6874.80
11200101,1120,Salaries,488277.02
11201123,1120,councillor allowances,22089.56
11201123,1120,Loan refund,3443.64
11201124,1120,Councillors T & S,7360.00
11201125,1120,Donations,1345.00
11201127,1120,Workshop fees,2000.00
11201128,1120,Fuel,36390.00
11201129,1120,Eco DD,2000.00
11201129,1120,General expenses,17000.05
11201129,1120,Operating expenses,2900.00
11201131,1120,Legal fees,64820.00
11201132,1120,Consumables and materials,14294.20
11201133,1120,VIP entertainment,8099.50
11201136,1120,Protective clothing,1075.00
11201144,1120,Staff T & S,89548.36
11201145,1120,Subscriptions,3000.00
11201149,1120,Training,700.00
11201150,1120,Stationery and printing,5283.75
11201156,1120,Bank charges,11295.65
11201160,1120,Telephone/internet,27891.89
11201164,1120,Transfers,18060.00
11201174,1120,State functions,609.50
11201194,1120,Budget,697.08
11201195,1120,Consultancy,2800.00
11201196,1120,Conferences,1050.00
11202129,1120,R & M - Grnrral ,20666.45
11202161,1120,R & M - M/Vehicles,5514.00
11204157,1120,Internet equipment,2351.74
11206301,1120,  Agric,-64266.00
11206314,1120,  Finance,-396037.00
11206336,1120,Nyangani,-50000.00
11206346,1120,  S/S,-35860.00
11206346,1120,  Beer Levy,-32000.00
11206357,1120,  Works ,-243496.00
11206386,1120,Proof of residence,-30.00
11207365,1120,Bank interest,-6.14
15006323,1500,Refunds,6414.48
