          TRIAL BALANCE REPORT FOR THE PERIOD:202112,,,,,,,
,, --------CURRENT PERIOD--------,, --------TOTAL TO DATE--------,,,
ACCOUNT,DESCRIPTION,DEBITS,CREDITS,DEBITS,CREDITS,,
HUMAN RESOURCES,,,,,,,
1411100004,INTEREST - CURRENCY AND DEPOSITS,0,-54.73,0,-988.95,,
,27/02/2021,being interest charges,BS27/02,,,230.97,230.97
,1/4/2021,being interest received,bs31/03,,,74.56,305.53
,29/03/2021,being interest received,bs29/03,,,74.56,380.09
,30/04/2021,being interest received,bs30/04,,,102.58,482.67
,31/05/2021,being interest received,bs31/05,,,51.91,534.58
,1/7/2021,being interest received,bs01/07,,,34.12,568.7
,30/06/2021,being interest accrued,bs3006,,,34.12,602.82
,30/06/2021,being interest accrued,bs30/06,,,10.08,612.9
,31/07/2021,being being interest received,bs31/07,,,35.96,648.86
,31/07/2021,interest received,bs31/07,,,35.96,684.82
,31/08/2021,being interest received,bs31/08,,,19.82,704.64
,30/09/2021,being interest accrued,bs30/09,,,-761.87,-57.23
,31/10/2021,being interest received,bs31/10,,,956.8,899.57
,30/11/2021,being interest received,bs30/11,,,34.65,934.22
,31/12/2021,being interest received,bs31/12,,,60000,60934.22
,31/12/2021,being interest overstated,bs31/12,,,-60000,934.22
,31/12/2021,being interest received,bs31/12,,,54.73,988.95
1411100005,LOANS,0,0,147975.88,0,,
,4/2/2021,being loan repayment,BS04/21,,,-147975.88,-147975.88
1422000017,OTHER FEES,0,0,0,-7149.18,,
,15/03/2021,being deposit,bs15/03,,,7149.18,7149.18
2111000001,BASIC SALARY,0,0,16383862.93,0,,
,4/1/2021,Dec 2020 salary,9999,,,-4115.02,-4115.02
,4/2/2021,school fees for thelate T Mushango's chi,10088,,,-5500,-9615.02
,8/2/2021,Purchase of food hamper(Dec2020&Jan2021),10092,,,-483682.39,-493297.41
,8/2/2021,Jan 2021 salary,10094,,,-46299.88,-539597.29
,16/02/2021,Jan 2021 salary,10164,,,-19203.53,-558800.82
,12/2/2021,NSSA subscriptions,10156,,,-37362.45,-596163.27
,24/02/2021,being pay leave days,10194,,,-20000,-616163.27
,12/2/2021,ZIMRA Subscription,10158,,,-142231.39,-758394.66
,8/2/2021,Jan 2021 management salaries,10093,,,-290707.91,-1049102.57
,16/02/2021,Jan 2021 salaries,10165,,,-992121.12,-2041223.69
,12/2/2021,subscriptions,10157,,,-111017.17,-2152240.86
,19/02/2021,Back pay & Student's allowances,10182,,,-687448.96,-2839689.82
,16/02/2021,Salaray Reversal,srev,,,46299.88,-2793389.94
,11/2/2021,Salary,el0780210211002,,,-46299.88,-2839689.82
,4/3/2021,Feb 2021 management salaries,10205,,,-238299.86,-3077989.68
,4/3/2021,"Feb 2021J/staff,security,contract,casual",10204,,,-783701.44,-3861691.12
,4/3/2021,Feb 2021 salary,10206,,,-38611.88,-3900303
,5/3/2021,salary arrears for late T Mushango,10224,,,-11820,-3912123
,8/3/2021,school fees for Chipo Sigauke,10216,,,-46680,-3958803
,12/3/2021,Feb 2021 salary,10223,,,-18168.64,-3976971.64
,16/03/2021,students' allowances,10227,,,-45000,-4021971.64
,17/03/2021,school fees for Mr P Sigauke's child,10233,,,-23905.8,-4045877.44
,18/03/2021,food hamper,10234,,,-152700.24,-4198577.68
,18/03/2021,food hamper,10234,,,-207080.56,-4405658.24
,22/03/2021,March 2021 salary,10243,,,-16143.72,-4421801.96
,22/03/2021,March 2021 salary,10238,,,-18168.64,-4439970.6
,29/03/2021,March 2021 salary,10305,,,-38611.88,-4478582.48
,31/03/2021,March 2021 management salaries,10311,,,-238299.86,-4716882.34
,6/4/2021,PAYE subscription,10312,,,-400000,-5116882.34
,16/04/2021,April 2021 wages,10335,,,-12044.25,-5128926.59
,16/04/2021,March 2021 salary,10339,,,-12044.25,-5140970.84
,20/04/2021,March 2021 salaries&students' allowances,10341,,,-491050.87,-5632021.71
,27/04/2021,subscriptions,10344,,,-300000,-5932021.71
,27/04/2021,subscriptions,10344,,,-30000,-5962021.71
,27/04/2021,subscriptions,10344,,,-100000,-6062021.71
,27/04/2021,subscriptions,10344,,,-50000,-6112021.71
,27/04/2021,subscriptions,10344,,,-200000,-6312021.71
,27/04/2021,subscriptions,10344,,,-50000,-6362021.71
,7/4/2021,being payment of salaries and wages,bs07/04,,,-411850.97,-6773872.68
,6/5/2021,subscription to NSSA,10357,,,-150000,-6923872.68
,11/5/2021,contributions to NSSA,10362,,,-41543.29,-6965415.97
,14/05/2021,April 2021 salaries all council staff,10372,,,-1153785.45,-8119201.42
,28/05/2021,ZIMRA Contribution,10381,,,-600000,-8719201.42
,5/5/2021,Food hamper for council staff,10353,,,-130569.56,-8849770.98
,5/5/2021,Food hamper for council staff,10353,,,-190062.34,-9039833.32
