"Individuals Licenses and permits",0,1,0,0
"tax on immovable property",1131000001,1,11,113
"Assesement rates-industrial",1131000002,1,11,113
"Assesement rates-other commercial",1131000003,1,11,113
"Assesement rates-Residential",1131000004,1,11,113
"Supplimentary charges/rates",1131000005,1,11,113
"Development levy -A1",1131000006,1,11,113
"Development levy -A2",1131000007,1,11,113
"Development levy -Communal",1131000008,1,11,113
"Development levy -mines",1131000009,1,11,113
"Royalties-General",1141200005,1,11,114
"Motor vehicle licences individuals",1145100001,1,11,114
"Motor vehicle licences corporates",1145100002,1,11,114
"Payable by individuals",1145210001,1,11,114
"Payable by corporations and other enterprises",1145210002,1,11,114
"Liquor licences",1145210003,1,11,114
"General dealers licence",1145210004,1,11,114
"Manufacturing licence",1145210005,1,11,114
"Other trading licences",1145210006,1,11,114
"Individuals Licenses and permits",1145240001,1,11,114
"Corporations Licenses and permits",1145240002,1,11,114
"Fishing permit",1145250003,1,11,114
"Resource utilisation permit",1145250004,1,11,114
"Mineral ore transporters fees",1145250005,1,11,114
"Current",1311000001,1,13,131
"Capital Grants from International Organization",1322000001,1,13,132
"Current Grants: From Budgetary central government",1331000001,1,13,133
"Current Grants: From Extrabudgetary entities",1331000002,1,13,133
"Current Grants: From Local government",1331000003,1,13,133
"Current Grants: From Regional government",1331000004,1,13,133
"Current Grants: From Social security funds",1331000005,1,13,133
"Current Grants: From government subsector n.e.c",1331000006,1,13,133
"Capital Grants: From Budgetary central government",1332000001,1,13,133
"Capital Grants: From Extrabudgetary entities",1332000002,1,13,133
"Capital Grants: From Regional government",1332000004,1,13,133
"Capital Grants: From Social security funds",1332000005,1,13,133
"Capital Grants: From government subsector n.e.c",1332000006,1,13,133
"Loans",1411100005,1,14,141
"Debt Securities",1411210001,1,14,141
"Accounts receivables",1411210002,1,14,141
"Currency and Deposits",1411210003,1,14,141
"Loans",1411210004,1,14,141
"Debt Securities",1411220001,1,14,141
"Currency and Deposits",1411220003,1,14,141
"Loans",1411220004,1,14,141
"Debt Securities",1411230001,1,14,141
"Accounts receivables",1411230002,1,14,141
"Currency and Deposits",1411230003,1,14,141
"Loans",1411230004,1,14,141
"Debt Securities  Public financial corporation",1411240001,1,14,141
"Accounts receivables- Public financial corporation",1411240002,1,14,141
"Currency and Deposits- Public financial corporation",1411240003,1,14,141
"Loans  Public financial corporation",1411240004,1,14,141
"Debt Securities- Households",1411250001,1,14,141
"Currency and Deposits- Households",1411250003,1,14,141
"Loans- Households",1411250004,1,14,141
"Debt Securities",1411270001,1,14,141
"Accounts receivables",1411270002,1,14,141
"Currency and Deposits",1411270003,1,14,141
"Loans",1411270004,1,14,141
"Debt Securities",1411280001,1,14,141
"Accounts receivables",1411280002,1,14,141
"Loans",1411280003,1,14,141
"Dividends: From Public corporations",1412200001,1,14,141
"Dividends: From Private corporations",1412200002,1,14,141
"Dividends: From Extrabudgetary entities",1412200003,1,14,141
"Dividends: From Local government",1412200004,1,14,141
"Dividends: From Regional government",1412200005,1,14,141
"Dividends: From Social security funds",1412200006,1,14,141
"Dividends: From residents n.e.c",1412200007,1,14,141
"Withdrawals of income from quasi-corporations",1413100001,1,14,141
"Profit on disposals",1414000001,1,14,141
"Rent A1  Farms",1415000001,1,14,141
"Rent A2 Farms",1415000002,1,14,141
"Base Stations Land",1415000003,1,14,141
"Natural Forest",1415000004,1,14,141
"Fishing licences",1415000005,1,14,141
"Trading Site Lease",1415000011,1,14,141
"Bill boards rent",1415000012,1,14,141
"stand leases(not for resale)",1415000013,1,14,141
"Sale of goods",1421000001,1,14,142
"Sale of services",1421000002,1,14,142
"Sale by quasi cooperations",1421000003,1,14,142
"Profit on disposals",1421000005,1,14,142
"Other fees",1422000017,1,14,142
"General Agriculture fees",1422000022,1,14,142
"Institutional Fines",1422000025,1,14,142
"Institutional Educational Levies",1422000026,1,14,142
"Amenities Fees",1422000027,1,14,142
"Application Fees/waiting list",1422000028,1,14,142
"Building adminstration fees",1422000029,1,14,142
"Natural resources fees",1422000030,1,14,142
"search fees",1422000031,1,14,142
"Change of owner ship fees",1422000032,1,14,142
"Cession fees",1422000033,1,14,142
"Endowment fees",1422000034,1,14,142
"Parking fees-revenue",1422000035,1,14,142
"Health fees",1422000036,1,14,142
"Public Toilet Fees",1422000037,1,14,142
"way leaves",1422000038,1,14,142
"Termini fees",1422000039,1,14,142
"Beer levy",1422000040,1,14,142
"Abatoir fees",1422000041,1,14,142
"Ambulance fees",1422000042,1,14,142
"Fire brigade fees",1422000043,1,14,142
"Fees at government hospitals and clinics",1422000044,1,14,142
"Tuition fees",1422000046,1,14,142
"Admission fees to government museums",1422000047,1,14,142
"Admission fees parks, and cultural and recreational facilities",1422000048,1,14,142
"Tender documents Sale/fees",1422000049,1,14,142
"Education Levy",1422000050,1,14,142
"Sales of products made at vocational institutions",1423000001,1,14,142
"Sales not elsewhere classified",1423000006,1,14,142
"Imputed sales of goods and services for paying employees",1424000001,1,14,142
"Institutional Accommodation",1425000001,1,14,142
"Hire of facilities",1425000003,1,14,142
"Hire of equipment-revenue",1425000005,1,14,142
"Office Rentals",1425000006,1,14,142
"House Rentals",1425000007,1,14,142
"Lease of  commercial stand",1425100001,1,14,142
"Lease of institutional stand",1425100002,1,14,142
"Lease of residential stand",1425100003,1,14,142
"sale of  commercial stand",1425200001,1,14,142
"Sale of institutional stand",1425200002,1,14,142
"sale of residential stand",1425200003,1,14,142
"sale of industrial stand",1425200004,1,14,142
"sewer charges",1425300001,1,14,142
"Public Lighting",1425300002,1,14,142
"Water charges",1425300003,1,14,142
"Fire Levy",1425300004,1,14,142
"Refuse Charges",1425300005,1,14,142
"Other services charges (road side walk)",1425300006,1,14,142
"Education/school levy",1425300007,1,14,142
"Roads levy",1425300008,1,14,142
"Forfeits",1430000003,1,14,143
"Employment Related Penalties",1430000004,1,14,143
"Trafic enforcement penalty",1430000005,1,14,143
"Building Enforcement Penalty",1430000006,1,14,143
"Trading Penalty",1430000007,1,14,143
"Environment",1430000008,1,14,143
"Other penalties and fines",1430000009,1,14,143
"Pound Fees (for animals)",1430000010,1,14,143
"Subsidies: From Budgetary central government",1441100001,1,14,144
"Subsidies: From Extrabudgetary entities",1441100002,1,14,144
"Subsidies: From Local government",1441100003,1,14,144
"Subsidies: From Regional government",1441100004,1,14,144
"Subsidies: From Social security funds",1441100005,1,14,144
"Subsidies: From general government n.e.c",1441100006,1,14,144
"Donations",1441201001,1,14,144
"Gifts",1441201002,1,14,144
"Currents transfers not considered to be donations or gifts",1441201003,1,14,144
"Donations",1441202001,1,14,144
"Gifts",1441202002,1,14,144
"Currents transfers not considered to be donations or gifts",1441202003,1,14,144
"Donations",1441203001,1,14,144
"Gifts",1441203002,1,14,144
"Currents transfers not considered to be donations or gifts",1441203003,1,14,144
"Donations",1441205001,1,14,144
"Gifts",1441205002,1,14,144
"Donations",1441210001,1,14,144
"Gifts",1441210002,1,14,144
"Capital transfers n.e.c: From Public corporations",1442000004,1,14,144
"Capital transfers n.e.c: From Private corporations",1442000006,1,14,144
"Capital transfers n.e.c: From Households",1442000007,1,14,144
"Capital transfers n.e.c: From Nonprofit institutions serving households",1442000008,1,14,144
"Capital transfers n.e.c: From Budgetary central government",1442000009,1,14,144
"Capital transfers n.e.c: From Extrabudgetary entities",1442000010,1,14,144
"Capital transfers n.e.c: From Local government",1442000011,1,14,144
"Capital transfers n.e.c: From Regional government",1442000012,1,14,144
"Capital transfers n.e.c: From Social security funds",1442000013,1,14,144
"Capital transfers n.e.c: From unidentifiable source",1442000014,1,14,144
"Basic salary",2111000001,2,21,211
"Constitutional salary",2111000002,2,21,211
"Casual labourers",2111000003,2,21,211
"Part time",2111000004,2,21,211
"Contract",2111000005,2,21,211
"External Service/Resident",2111000006,2,21,211
"External Service/Non Resident",2111000007,2,21,211
"Abnormal hours",2111000050,2,21,211
"Acting",2111000051,2,21,211
"Ambulance driver",2111000052,2,21,211
"Anaesthetic",2111000053,2,21,211
"Bituman",2111000054,2,21,211
"Bonus",2111000055,2,21,211
"Calculated overtime allowance",2111000057,2,21,211
"Call out allowance",2111000058,2,21,211
"Cash in lieu of leave (C.I.L)/ Encashment",2111000059,2,21,211
"Catering allowance",2111000060,2,21,211
"Cellphone",2111000061,2,21,211
"Control posts allowance",2111000065,2,21,211
"Cycle allowance",2111000066,2,21,211
"Domestic Worker Allowance",2111000067,2,21,211
"Driving Allowance",2111000069,2,21,211
"Education Allowance",2111000070,2,21,211
"Housing allowance",2111000077,2,21,211
"Internship/Attachment",2111000079,2,21,211
"Living out allowance",2111000082,2,21,211
"Locum",2111000083,2,21,211
"Night duty allowance",2111000086,2,21,211
"On call allowance",2111000087,2,21,211
"Professional and Technical Allowance",2111000091,2,21,211
"Relocation Allowance",2111000092,2,21,211
"Representation allowance",2111000093,2,21,211
"Responsibility allowance",2111000095,2,21,211
"Retention Allowance",2111000096,2,21,211
"Risk Allowance",2111000097,2,21,211
"Sanitary allowance",2111000098,2,21,211
"Uniforms",2111000110,2,21,211
"X-Ray operator allowance",2111000111,2,21,211
"Mortuary attendant allowance",2111000112,2,21,211
"Student allowances",2111000113,2,21,211
"Special allowance",2111000114,2,21,211
"Councillors Allowances",2111000116,2,21,211
"Tutors / Instructors",2111000117,2,21,211
"Messengers allowances",2111000120,2,21,211
"Entertainment Allowance",2111000122,2,21,211
"Rural Allowance",2111000125,2,21,211
"School Fees Allowance",2111000127,2,21,211
"Practising Allowance",2111000128,2,21,211
"Charge hand allowance (foreman)",2111000135,2,21,211
"Chauffer allowance",2111000136,2,21,211
"anaesthetic",2111000137,2,21,211
"Sitting Allowance",2111000138,2,21,211
"Electricity and water allowance",2111000140,2,21,211
"Suspension allowance",2111000142,2,21,211
"Trade allowance",2111000144,2,21,211
"Motor vehicle allowance",2111000146,2,21,211
"Fringe Benefits allowance",2111000149,2,21,211
"camping allowance",2111000151,2,21,211
"Tools allowance",2111000152,2,21,211
"Cash handling allowance",2111000154,2,21,211
"long service award",2111000155,2,21,211
"Private mileage allowance",2111000156,2,21,211
"commisioner allowance (representation of councillors",2111000159,2,21,211
"Shift allowance",2111001000,2,21,211
"Slaughter floor allowance",2111001001,2,21,211
"Stand by allowance",2111001004,2,21,211
"Telephone",2111001006,2,21,211
"Theartre allowance",2111001007,2,21,211
"Transport allowance",2111001009,2,21,211
"Chiefs and headman allowance",2111003010,2,21,211
"S.I.K Food and refreshments",2112000001,2,21,211
"S.I.K Clothing",2112000002,2,21,211
"S.I.K Housing",2112000003,2,21,211
"S.I.K Diesel/Petrol",2112000004,2,21,211
"S.I.K Vehicle hire and lease",2112000005,2,21,211
"S.I.K Free travel",2112000006,2,21,211
"S.I.K Sports, recreation or holidays",2112000007,2,21,211
"S.I.K Transport",2112000008,2,21,211
"S.I.K Child care",2112000009,2,21,211
"S.I.K Reduced Interest on Loan",2112000010,2,21,211
"S.I.K Newspapers",2112000011,2,21,211
"S.I.K Bonus shares or stock options",2112000012,2,21,211
"subsides land sales",2112000013,2,21,211
"National Social Security Scheme",2121000001,2,21,212
"Contributions to health insurance",2121000002,2,21,212
"Contributions to pension funds",2121000003,2,21,212
"Personal Accident Insurance",2121000004,2,21,212
"Severance payments",2121000006,2,21,212
"Medical Expenses",2121000007,2,21,212
"Funeral Expenses",2121000008,2,21,212
"Pension Employer Contributions",2121000009,2,21,212
"Gratuity",2121000010,2,21,212
"Family benefits",2122000001,2,21,212
"Sick leave",2122000002,2,21,212
"Maternity leave",2122000003,2,21,212
"Severance payments",2122000004,2,21,212
"Medical Expenses",2122000005,2,21,212
"Funeral Expenses",2122000006,2,21,212
"Pension Employer Contributions",2122000007,2,21,212
"Gratuity",2122000008,2,21,212
"Public Relations & Advertising",2200100001,2,22,220
"Courier services",2200100002,2,22,220
"Internet",2200100003,2,22,220
"Maps",2200100004,2,22,220
"News services fees",2200100005,2,22,220
"Newspapers - general",2200100006,2,22,220
"Postal charges",2200100007,2,22,220
"Printing Services",2200100008,2,22,220
"Audio/visual Tapes, records & disks",2200100009,2,22,220
"Telephone -fixed",2200100010,2,22,220
"Telephone-mobile",2200100011,2,22,220
"Telex /fax",2200100012,2,22,220
"Airwaves and Radio license",2200100013,2,22,220
"Exhibitions",2200100014,2,22,220
"Telephone - Roaming",2200100015,2,22,220
"Archive material",2200200001,2,22,220
"Books",2200200002,2,22,220
"Laboratory accessories",2200200003,2,22,220
"Learning material",2200200004,2,22,220
"Periodicals",2200200005,2,22,220
"School/ College meals",2200200006,2,22,220
"Sporting goods,",2200200007,2,22,220
"Teaching/Training materials",2200200008,2,22,220
"Examination expenses",2200200009,2,22,220
"Accomodation",2200300001,2,22,220
"Catering",2200300002,2,22,220
"Entertainment",2200300003,2,22,220
"Gifts and Donations",2200300004,2,22,220
"Visitors transport",2200300005,2,22,220
"Ex-gratia",2200300006,2,22,220
"Anti-retroviral drugs &HIV Kits",2200400001,2,22,220
"Blood and Blood products",2200400002,2,22,220
"Contraceptives",2200400003,2,22,220
"Dental supplies",2200400004,2,22,220
"Drugs and medicines (not ARV drugs)",2200400005,2,22,220
"Laboratory fees",2200400006,2,22,220
"Medical examinations",2200400007,2,22,220
"Medical laboratory supplies",2200400008,2,22,220
"Post mortem expenses",2200400009,2,22,220
"Surgical supplies",2200400010,2,22,220
"Vaccines",2200400011,2,22,220
"X-ray Supplies",2200400012,2,22,220
"Medical Gases",2200400013,2,22,220
"Mortuary Expenses",2200400014,2,22,220
"special Medical Requirements",2200400015,2,22,220
"Tuberculosis Drugs",2200400016,2,22,220
"Health systems strengthening",2200400017,2,22,220
"Pathology services",2200400018,2,22,220
"Microfilm/photocopying & photographic materials",2200600001,2,22,220
"Computer consumables, accessories & supplies",2200600002,2,22,220
"Renewal of computer software licenses",2200600003,2,22,220
"Stationery supplies",2200600004,2,22,220
"Air charters",2200700001,2,22,220
"Boat hire",2200700002,2,22,220
"Office accommodation",2200700003,2,22,220
"Plant, Machinery and equipment-Hire/lease and services",2200700004,2,22,220
"Staff accommodation",2200700005,2,22,220
"Conferences",2200700006,2,22,220
"Storage accommodation",2200700007,2,22,220
"Train / bulk movement",2200700008,2,22,220
"Vehicle hire and lease general",2200700009,2,22,220
"Training Allowances and incidentals",2200800001,2,22,220
"Training - Travel expenses",2200800002,2,22,220
"Training - Tuition and exam fees",2200800003,2,22,220
"Training - Accommodation",2200800004,2,22,220
"Domestic allowances for accomodation, meals etc",2200900001,2,22,220
"Domestic travel fares",2200900002,2,22,220
"Baggage fee - Local",2200900003,2,22,220
"Toll/Parking Fees",2200900004,2,22,220
"Departure fee - Local",2200900005,2,22,220
"Domestic Allowances -others",2200900006,2,22,220
"External travel fares",2201000001,2,22,220
"Foreign allowances for accomodation, meals etc",2201000002,2,22,220
"Visas",2201000003,2,22,220
"Baggage fee - Foreign",2201000004,2,22,220
"Departure fee - Foreign",2201000005,2,22,220
"Toll/Parking Fees- Foreign",2201000006,2,22,220
"Medical Vaccination - for Foreign Travel",2201000007,2,22,220
"Medical Insurance- Foreign Travell",2201000008,2,22,220
"Vehicle Hire- Foreign Travell",2201000009,2,22,220
"Coal",2201100001,2,22,220
"Electricity",2201100002,2,22,220
"Firewood",2201100003,2,22,220
"Gas",2201100004,2,22,220
"Water",2201100005,2,22,220
"Rates",2201100006,2,22,220
"Sewage and Refuse Collection & Other charges",2201100007,2,22,220
"Hire of services",2201100008,2,22,220
"Heating oil",2201100009,2,22,220
"Stock feed",2201200001,2,22,220
"Agro-Chemicals",2201200002,2,22,220
"Fertiliser",2201200003,2,22,220
"Seed and seedlings",2201200004,2,22,220
"Targets and attractants",2201200005,2,22,220
"Dip chemicals",2201200006,2,22,220
"Veterinary Vaccines",2201200007,2,22,220
"Veterinary Drugs",2201200008,2,22,220
"Veterinary Laboratory Expenses",2201200009,2,22,220
"Water Treatment chemicals",2201200010,2,22,220
"Sewerage Treatment chemicals",2201200011,2,22,220
"Refunds - Revenue",2201300001,2,22,220
"Audit Fees",2201400001,2,22,220
"Audit Committee expenses",2201400002,2,22,220
"Bank transaction fees",2201400003,2,22,220
"Board fees",2201400004,2,22,220
"Borrowing  related costs",2201400005,2,22,220
"Consultancy fees/extranoeus professional services",2201400006,2,22,220
"Debt collection expenses",2201400007,2,22,220
"Exchange rate loss",2201400008,2,22,220
"Legal fees",2201400009,2,22,220
"Loss on disposal",2201400010,2,22,220
"Loss of public money",2201400011,2,22,220
"Fiscal Fiduciary Fees",2201400012,2,22,220
"Import Duty",2201400013,2,22,220
"Holding Loss",2201400014,2,22,220
"Technical related costs",2201400015,2,22,220
"Valuation expenses",2201400016,2,22,220
"Bedding and linen",2201500001,2,22,220
"Uniform/Ceremonial dress and National symbols",2201500002,2,22,220
"Protective clothing",2201500003,2,22,220
"Food and refreshments",2201500004,2,22,220
"Rations",2201500005,2,22,220
"Toiletries",2201500006,2,22,220
"Honorariums and awards",2201600001,2,22,220
"Material licence discs and number plates",2201600002,2,22,220
"Witness expenses",2201600003,2,22,220
"Cost Insurance and Freight including  Demurrage",2201600006,2,22,220
"Procurement and Handling Fees",2201600008,2,22,220
"General Insurance",2201600009,2,22,220
"Hunting qoutas",2201600010,2,22,220
"commissions expenses",2201600011,2,22,220
"Raw Water",2201600012,2,22,220
"Building Maintenance",2201700001,2,22,220
"Road Maintenance",2201700002,2,22,220
"Walling and Fencing Maintenance",2201700003,2,22,220
"Plumbing Maintenance",2201700004,2,22,220
"Electrical supplies Maintenance",2201700005,2,22,220
"Borehole casings and accessories Maintenance",2201700006,2,22,220
"Building Repairs",2201700007,2,22,220
"Road Repairs",2201700008,2,22,220
"Walling and Fencing Repairs",2201700009,2,22,220
"Plumbing Repairs",2201700010,2,22,220
"Electrical supplies Repairs",2201700011,2,22,220
"Borehole casings and accessories Repairs",2201700012,2,22,220
"Infrastrucure maintainance",2201700013,2,22,220
"Infrastrucure Repairs",2201700014,2,22,220
"Tools and Implements",2201800001,2,22,220
"Parts - Technical equipment",2201800002,2,22,220
"Medical and Diagnostic equipment",2201800003,2,22,220
"Office equipment",2201800004,2,22,220
"Residental Furniture and Equipment",2201800005,2,22,220
"Technical  maintenance",2201800006,2,22,220
"Technical  repairs",2201800007,2,22,220
"Maintenance of mobile equipment",2201900001,2,22,220
"Maintenance of vehicles",2201900002,2,22,220
"Repairs of mobile equipment",2201900003,2,22,220
"Repairs of vehicles",2201900004,2,22,220
"Tyres/batteries",2201900005,2,22,220
"Motor vehicle Insurance",2201900006,2,22,220
"Motor vehicle Iicences",2201900007,2,22,220
"Maintenance of plant and fixed equipment",2202000001,2,22,220
"Repairs of plant and fixed equipment",2202000002,2,22,220
"Spare parts- mechanical /electrical",2202000003,2,22,220
"Fumigation, Chemicals and insecticides",2202100001,2,22,220
"Mops, brooms and brushes",2202100002,2,22,220
"Disinfectants and detergents",2202100003,2,22,220
"Dry Cleaning and Laundry services",2202100004,2,22,220
"Diesel",2202200002,2,22,220
"Petrol",2202200003,2,22,220
"Lubricants",2202200004,2,22,220
"Oils",2202200005,2,22,220
"Parafin",2202200006,2,22,220
"Local Subscriptions",2202300001,2,22,220
"Foreign Subscriptions",2202300002,2,22,220
"Depreciation - Residential Buildings",2301110001,2,23,230
"Depreciation - Caravans",2301110002,2,23,230
"Depreciation - Houseboats",2301110003,2,23,230
"Depreciation - Mobile Homes",2301110004,2,23,230
"Impairment of fixed assets - Residential Buildings",2301110005,2,23,230
"Impairment of fixed assets - Caravans",2301110006,2,23,230
"Impairment of fixed assets - Houseboats",2301110007,2,23,230
"Impairment of fixed assets - Mobile Homes",2301110008,2,23,230
"Depreciation - Commercial Buildings",2301120001,2,23,230
"Depreciation - Industrial Buildings",2301120002,2,23,230
"Depreciation - Institutional Buildings",2301120003,2,23,230
"Impairment of fixed assets -  Commercial Buildings",2301120004,2,23,230
"Impairment of fixed assets - Industrial Buildings",2301120005,2,23,230
"Impairment of fixed assets -  Institutional Buildings",2301120006,2,23,230
"Depreciation - Airport, Runways & Helipads",2301130001,2,23,230
"Depreciation - Roads",2301130002,2,23,230
"Depreciation - Bridges",2301130003,2,23,230
"Depreciation - Civil Works",2301130004,2,23,230
"Depreciation - Dams",2301130005,2,23,230
"Depreciation - Water Works",2301130006,2,23,230
"Depreciation - Boreholes",2301130007,2,23,230
"Depreciation - Dip Tanks & Live Stock Management Facilities",2301130008,2,23,230
"Depreciation - Irrigation Schemes",2301130009,2,23,230
"Depreciation - Monuments",2301130010,2,23,230
"Depreciation - Railway",2301130011,2,23,230
"Impairment of fixed assets - Airport, Runways & Helipads",2301130012,2,23,230
"Impairment of fixed assets - Roads",2301130013,2,23,230
"Impairment of fixed assets - Bridges",2301130014,2,23,230
"Impairment of fixed assets - Civil Works",2301130015,2,23,230
"Impairment of fixed assets - Dams",2301130016,2,23,230
"Impairment of fixed assets - Water Works",2301130017,2,23,230
"Impairment of fixed assets - Boreholes",2301130018,2,23,230
"Impairment of fixed assets - Dip Tanks & Live Stock Management Facilities",2301130019,2,23,230
"Impairment of fixed assets - Irrigation Schemes",2301130020,2,23,230
"Impairment of fixed assets - Monuments",2301130021,2,23,230
"Impairment of fixed assets - Railway",2301130022,2,23,230
"Depreciation - Boats & Water Craft",2301210002,2,23,230
"Depreciation - Motor Cycles & Bicycles",2301210003,2,23,230
"Depreciation - Motor Vehicles",2301210004,2,23,230
"Depreciation -Tractors and Earthmoving Equipment",2301210005,2,23,230
"Impairment of fixed assets - Boats & Water Craft",2301210007,2,23,230
"Impairment of fixed assets - Motor Cycles & Bicycles",2301210008,2,23,230
"Impairment of fixed assets - Motor Vehicles",2301210009,2,23,230
"Impairment of fixed assets - Tractors and Earthmoving Equipment",2301210010,2,23,230
"Information, Computer & Telecommunication (ICT) Equipment",2301221001,2,23,230
"Generators",2301222001,2,23,230
"Machinery & Equipment not elsewhere classified -",2301222002,2,23,230
"Survey Equipment",2301222003,2,23,230
"Funeral Equipment",2301222004,2,23,230
"Photographic/Media Equipment",2301222005,2,23,230
"Sports Equipment",2301222006,2,23,230
"Teaching and Training Equipment",2301222007,2,23,230
"Navigational and Telecommunications Equipment",2301222008,2,23,230
"Camping equipment",2301222009,2,23,230
"Kitchen and Culinary Equipment",2301222010,2,23,230
"Office Equipment",2301222011,2,23,230
"Furniture and Fittings",2301222012,2,23,230
"Laboratory Equipment",2301222013,2,23,230
"Hospital Equipment",2301222014,2,23,230
"Scales and Measures",2301222015,2,23,230
"Fire Fighting Equipment",2301222016,2,23,230
"Impairment of fixed assets - Animal Resources Yielding Repeat Products",2301310001,2,23,230
"Impairment of fixed assets - Tree, Crop & Plant Resources Yielding Repeat Products",2301310002,2,23,230
"Impairment of fixed assets - Research & Development",2301320001,2,23,230
"Impairment of fixed assets - Mineral Exploration & Evaluation",2301320002,2,23,230
"computer software",2301320003,2,23,230
"Data bases",2301320004,2,23,230
"Entertainment, Literary & Artistic Originals",2301320005,2,23,230
"Other Intellectual & Property Products",2301320006,2,23,230
"Impairment of fixed assets - Computer Software & Databases",2301320007,2,23,230
"Impairment of fixed assets - Entertainment, Literary & Artistic Originals",2301320008,2,23,230
"Impairment of fixed assets - Other Intellectual & Property Products",2301320009,2,23,230
"Costs of ownership",2301330001,2,23,230
"Impairment of fixed assets - Cost of ownership",2301330002,2,23,230
"Weapons systems",2301400001,2,23,230
"Impairment of fixed assets - Weapon systems",2301400002,2,23,230
"Interest on Currency and deposits",2410000002,2,24,241
"Interest on Debt securities",2410000003,2,24,241
"Interest on Concessional loans -foreign",2411000001,2,24,241
"Interest on  Non-Concessional-loans-foreign",2411000002,2,24,241
"Interest on Financial derivatives",2411000003,2,24,241
"Interest on Trade credit and advances Foreign",2411000004,2,24,241
"Interest on Other accounts payable -Foreign",2411000005,2,24,241
"Interest on TBs General GVT- BANKS (Treasury Bills)",2421000002,2,24,242
"Interest on TBs General GVT- Non-Banks (Treasury Bills)",2421000003,2,24,242
"Interest on Treasury bonds General GVT- BANKS",2421000004,2,24,242
"Interest on Treasury Bonds General GVT- Non-Banks",2421000005,2,24,242
"Interest on Financial derivatives (Loans)",2421000006,2,24,242
"Interest on Trade credit and advances",2421000007,2,24,242
"Interest on Other accounts payable",2421000008,2,24,242
"Interest on Currency and deposits",2422000001,2,24,242
"Interest on TBs General GVT- BANKS (Treasury Bills)",2422000002,2,24,242
"Interest on TBs General GVT- Non-Banks (Treasury Bills)",2422000003,2,24,242
"Interest on Treasury bonds General GVT- BANKS",2422000004,2,24,242
"Interest on Treasury Bonds General GVT- Non-Banks",2422000005,2,24,242
"Interest on Financial derivatives (Loans)",2422000006,2,24,242
"Interest on Trade credit and advances",2422000007,2,24,242
"Interest on Other accounts payable",2422000008,2,24,242
"Interest on Currency and deposits",2423000001,2,24,242
"Interest on TBs General GVT- BANKS (Treasury Bills)",2423000002,2,24,242
"Interest on TBs General GVT- Non-Banks (Treasury Bills)",2423000003,2,24,242
"Interest on Treasury bonds General GVT- BANKS",2423000004,2,24,242
"Interest on Treasury Bonds General GVT- Non-Banks",2423000005,2,24,242
"Interest on Financial derivatives (Loans)",2423000006,2,24,242
"Interest on Trade credit and advances",2423000007,2,24,242
"Interest on Other accounts payable",2423000008,2,24,242
"Interest on Currency and deposits",2424000001,2,24,242
"Interest on TBs General GVT- BANKS (Treasury Bills)",2424000002,2,24,242
"Interest on TBs General GVT- Non-Banks (Treasury Bills)",2424000003,2,24,242
"Interest on Treasury bonds General GVT- BANKS",2424000004,2,24,242
"Interest on Treasury Bonds General GVT- Non-Banks",2424000005,2,24,242
"Interest on Financial derivatives (Loans)",2424000006,2,24,242
"Interest on Trade credit and advances",2424000007,2,24,242
"Interest on Other accounts payable",2424000008,2,24,242
"Interest on Currency and deposits",2426000001,2,24,242
"Interest on TBs General GVT- BANKS (Treasury Bills)",2426000002,2,24,242
"Interest on TBs General GVT- Non-Banks (Treasury Bills)",2426000003,2,24,242
"Interest on Treasury bonds General GVT- BANKS",2426000004,2,24,242
"Interest on Treasury Bonds General GVT- Non-Banks",2426000005,2,24,242
"Interest on Financial derivatives (Loans)",2426000006,2,24,242
"Interest on Trade credit and advances",2426000007,2,24,242
"Interest on Other accounts payable",2426000008,2,24,242
"Interest on Currency and deposits",2431000001,2,24,243
"Interest on TBs General GVT- BANKS (Treasury Bills)",2431000002,2,24,243
"Interest on TBs General GVT- Non-Banks (Treasury Bills)",2431000003,2,24,243
"Interest on Treasury bonds General GVT- BANKS",2431000004,2,24,243
"Interest on Treasury Bonds General GVT- Non-Banks",2431000005,2,24,243
"Interest on Financial derivatives (Loans)",2431000006,2,24,243
