desc,acc,br,ca,sub,n1,len
Revenue,1,1,1,1,1,1
Taxes,11,1,11,11,11,2
Taxes on property,113,1,11,113,113,3
Recurrent taxes on immovable property,1131,1,11,113,1131,4
tax on immovable property,1131000001,1,11,113,1131,10
Assesement rates-industrial,1131000002,1,11,113,1131,10
Assesement rates-other commercial,1131000003,1,11,113,1131,10
Assesement rates-Residential,1131000004,1,11,113,1131,10
Supplimentary charges/rates,1131000005,1,11,113,1131,10
Development levy -A1,1131000006,1,11,113,1131,10
Development levy -A2,1131000007,1,11,113,1131,10
Development levy -Communal,1131000008,1,11,113,1131,10
Development levy -mines,1131000009,1,11,113,1131,10
Non-property Taxes,114,1,11,114,114,3
Sales taxes,1141,1,11,114,1141,4
Sales taxes,11412,1,11,114,1141,5
Royalties-General,1141200005,1,11,114,1141,10
Taxes on use of goods and on permission to use goods or perform activities,1145,1,11,114,1145,4
Motor vehicle/ boats/ aeroplanes taxes,11451,1,11,114,1145,5
Motor vehicle licences individuals,1145100001,1,11,114,1145,10
Motor vehicle licences corporates,1145100002,1,11,114,1145,10
Other taxes on use of goods and on permission to use goods or perform activities,11452,1,11,114,1145,5
Business and professional licenses,114521,1,11,114,1145,6
Payable by individuals,1145210001,1,11,114,1145,10
Payable by corporations and other enterprises,1145210002,1,11,114,1145,10
Liquor licences,1145210003,1,11,114,1145,10
General dealers licence,1145210004,1,11,114,1145,10
Manufacturing licence,1145210005,1,11,114,1145,10
Other trading licences,1145210006,1,11,114,1145,10
Licenses and permits for households1,114524,1,11,114,1145,6
Individuals Licenses and permits,1145240001,1,11,114,1145,10
Corporations Licenses and permits,1145240002,1,11,114,1145,10
Other taxes on the use of goods and on permission to use goods or perform activities not elsewhere classified1,114525,1,11,114,1145,6
Individuals Licenses and permits,0,1,0,0,0,10
Corporations Licenses and permits,0,0,0,0,0,0
Fishing permit,1145250003,1,11,114,1145,10
Resource utilisation permit,1145250004,1,11,114,1145,10
Mineral ore transporters fees,1145250005,1,11,114,1145,10
Grants,13,1,13,13,13,2
From foreign governments,131,1,13,131,131,3
Current Grants from Foreign governments,1311,1,13,131,1311,4
Current,1311000001,1,13,131,1311,10
Capital Grants from Foreign governments,1312,1,13,131,1312,4
Capital,0,0,0,0,0,0
From international organizations,132,1,13,132,132,3
Current Grants From international organizations,1321,1,13,132,1321,4
Capital Grants From international organizations,1322,1,13,132,1322,4
Capital Grants from International Organization,1322000001,1,13,132,1322,10
From other general government units,133,1,13,133,133,3
Current Grants From other general government units1,1331,1,13,133,1331,4
Current Grants: From Budgetary central government,1331000001,1,13,133,1331,10
Current Grants: From Extrabudgetary entities,1331000002,1,13,133,1331,10
Current Grants: From Local government,1331000003,1,13,133,1331,10
Current Grants: From Regional government,1331000004,1,13,133,1331,10
Current Grants: From Social security funds,1331000005,1,13,133,1331,10
Current Grants: From government subsector n.e.c,1331000006,1,13,133,1331,10
Capital Grants From other general government units1,1332,1,13,133,1332,4
Capital Grants: From Budgetary central government,1332000001,1,13,133,1332,10
Capital Grants: From Extrabudgetary entities,1332000002,1,13,133,1332,10
Capital Grants: From Local government,0,0,0,0,0,0
Capital Grants: From Regional government,1332000004,1,13,133,1332,10
Capital Grants: From Social security funds,1332000005,1,13,133,1332,10
Capital Grants: From government subsector n.e.c,1332000006,1,13,133,1332,10
Other revenue,14,1,14,14,14,2
Property income ,141,1,14,141,141,3
Interest,1411,1,14,141,1411,4
Loans,1411100005,1,14,141,1411,10
Interest: From residents other than general government [GFS],14112,1,14,141,1411,5
Interest: From Private nonfinancial corporation,141121,1,14,141,1411,6
Debt Securities,1411210001,1,14,141,1411,10
Accounts receivables,1411210002,1,14,141,1411,10
Currency and Deposits,1411210003,1,14,141,1411,10
Loans,1411210004,1,14,141,1411,10
Interest: From Private financial corporation,141122,1,14,141,1411,6
Debt Securities,1411220001,1,14,141,1411,10
Currency and Deposits,1411220003,1,14,141,1411,10
Loans,1411220004,1,14,141,1411,10
Interest: From Public nonfinancial corporation,141123,1,14,141,1411,6
Debt Securities,1411230001,1,14,141,1411,10
Accounts receivables,1411230002,1,14,141,1411,10
Currency and Deposits,1411230003,1,14,141,1411,10
Loans,1411230004,1,14,141,1411,10
Interest: From Public financial corporation,141124,1,14,141,1411,6
Debt Securities  Public financial corporation,1411240001,1,14,141,1411,10
Accounts receivables- Public financial corporation,1411240002,1,14,141,1411,10
Currency and Deposits- Public financial corporation,1411240003,1,14,141,1411,10
Loans  Public financial corporation,1411240004,1,14,141,1411,10
Interest: From Households,141125,1,14,141,1411,6
Debt Securities- Households,1411250001,1,14,141,1411,10
Accounts receivables- Households,0,0,0,0,0,0
Currency and Deposits- Households,1411250003,1,14,141,1411,10
Loans- Households,1411250004,1,14,141,1411,10
Interest: From Nonprofit institutions serving households,141126,1,14,141,1411,6
Interest: From residents other than general government n.e.c,141127,1,14,141,1411,6
Debt Securities,1411270001,1,14,141,1411,10
Accounts receivables,1411270002,1,14,141,1411,10
Currency and Deposits,1411270003,1,14,141,1411,10
Loans,1411270004,1,14,141,1411,10
Interest: From Local government,141128,1,14,141,1411,6
Debt Securities,1411280001,1,14,141,1411,10
Accounts receivables,1411280002,1,14,141,1411,10
Loans,1411280003,1,14,141,1411,10
Interest: From Regional government,141128,1,14,141,1411,6
Dividends,1412,1,14,141,1412,4
From nonresidents,14121,1,14,141,1412,5
From residents,14122,1,14,141,1412,5
Dividends: From Public corporations,1412200001,1,14,141,1412,10
Dividends: From Private corporations,1412200002,1,14,141,1412,10
Dividends: From Extrabudgetary entities,1412200003,1,14,141,1412,10
Dividends: From Local government,1412200004,1,14,141,1412,10
Dividends: From Regional government,1412200005,1,14,141,1412,10
Dividends: From Social security funds,1412200006,1,14,141,1412,10
Dividends: From residents n.e.c,1412200007,1,14,141,1412,10
Withdrawals of income from quasi-corporations,1413,1,14,141,1413,4
Withdrawals of income from quasi-corporations,1413100001,1,14,141,1413,10
Income from investment & Disposals,1414,1,14,141,1414,4
Profit on disposals,1414000001,1,14,141,1414,10
Rent,1415,1,14,141,1415,4
Rent A1  Farms,1415000001,1,14,141,1415,10
Rent A2 Farms,1415000002,1,14,141,1415,10
Base Stations Land,1415000003,1,14,141,1415,10
Natural Forest,1415000004,1,14,141,1415,10
Fishing licences,1415000005,1,14,141,1415,10
Trading Site Lease,1415000011,1,14,141,1415,10
Bill boards rent,1415000012,1,14,141,1415,10
stand leases(not for resale),1415000013,1,14,141,1415,10
Sales of goods and services,142,1,14,142,142,3
Sales by market establishments,1421,1,14,142,1421,4
Sale of goods,1421000001,1,14,142,1421,10
Sale of services,1421000002,1,14,142,1421,10
Sale by quasi cooperations,1421000003,1,14,142,1421,10
Profit on disposals,1421000005,1,14,142,1421,10
Administrative fees,1422,1,14,142,1422,4
Other fees,1422000017,1,14,142,1422,10
General Agriculture fees,1422000022,1,14,142,1422,10
Institutional Fines,1422000025,1,14,142,1422,10
Institutional Educational Levies,1422000026,1,14,142,1422,10
Amenities Fees,1422000027,1,14,142,1422,10
